name	formula_salt	formula_metabolite	smiles_salt	smiles_metabolite	mol_weight_salt	exact_mass_metabolite	conc
14:0-13:0-14:0 TG-d5	C44H79D5O6	C44H79D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	714.181	713.6581742	25
14:0-15:1-14:0 TG-d5	C46H81D5O6	C46H81D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	740.219	739.6738242	50
14:0-17:1-14:0 TG-d5	C48H85D5O6	C48H85D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	768.273	767.7051243	75
16:0-15:1-16:0 TG-d5	C50H89D5O6	C50H89D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	796.327	795.7364245	100
16:0-17:1-16:0 TG-d5	C52H93D5O6	C52H93D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	824.381	823.7677246	125
16:0-19:2-16:0 TG-d5	C54H95D5O6	C54H95D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	850.419	849.7833747	100
18:1-17:1-18:1 TG-d5	C56H97D5O6	C56H97D5O6	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	876.457	875.7990247	75
18:1-19:2-18:1 TG-d5	C58H99D5O6	C58H99D5O6	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	902.495	901.8146748	50
18:1-21:2-18:1 TG-d5	C60H103D5O6	C60H103D5O6	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	930.549	929.8459749	25
14:1 cholesteryl-d7 ester	C41H63D7O2	C41H63D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCC	602.052	601.5815187	25
16:1 cholesteryl-d7 ester	C43H67D7O2	C43H67D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCC	630.106	629.6128188	50
18:1 cholesteryl-d7 ester	C45H71D7O2	C45H71D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCCCC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCCCC	658.16	657.644119	75
20:3 cholesteryl-d7 ester	C47H71D7O2	C47H71D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC	682.182	681.644119	50
22:4 cholesteryl-d7 ester	C49H73D7O2	C49H73D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	708.22	707.659769	25
C16:1 Ceramide-d7 (d18:1-d7/16:1)	C34H58D7NO3	C34H58D7NO3	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCC\C=C/CCCCCC	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCC\C=C/CCCCCC	542.941	542.5403822	75
C18:1 Ceramide-d7 (d18:1-d7/18:1)	C36H62D7NO3	C36H62D7NO3	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCC\C=C/CCCCCCCC	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCC\C=C/CCCCCCCC	570.995	570.5716823	50
C20:1 Ceramide-d7 (d18:1-d7/20:1)	C38H66D7NO3	C38H66D7NO3	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCCC	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCCC	599.049	598.6029824	25
