name	formulaSalt	formulaMetabolite	smilesSalt	smilesMetabolite	molWeightSalt	exactMassMetabolite	conc	mix
L-Alanine (13C3, 99%; 15N, 99%)	[13C]3H7NO2	[13C]3H7NO2	[13CH3][13C@H](N)[13C](O)=O	[13CH3][13C@H](N)[13C](O)=O	92.071	92.05774297	100	QReSS
1,4-Butanediamine (putrescine)·2HCl (13C4, 99%)	[13C]4H14Cl2N2	[13C]4H12N2	[Cl-].[Cl-].[NH3+][13CH2][13CH2][13CH2][13CH2][NH3+]	N[13CH2][13CH2][13CH2][13CH2]N	165.04	92.11346773	10	QReSS
Creatinine (N-methyl-D3, 98%)	C4H4D3N3O	C4H4D3N3O	[2H]C([2H])([2H])N1CC(=O)N=C1N	[2H]C([2H])([2H])N1CC(=O)N=C1N	116.138	116.0777421	100	QReSS
Ethanolamine·HCl (1,1,2,2-D4, 98%)	C2H8ClNO	C2H7NO	[Cl-].[H]C([H])([NH3+])C([H])([H])O	[H]C([H])(N)C([H])([H])O	97.54	61.05276385	10	QReSS
Guanosine·2H2O (15N5, 96-98%)	C10H17[15N]5O7	C10H13[15N]5O5	O.O.[15NH2]C1=[15N]C2=C([15N]=C[15N]2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)[15NH]1	[15NH2]C1=[15N]C2=C([15N]=C[15N]2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)[15NH]1	324.24	288.076843	2	QReSS
Hypoxanthine (13C5, 99%)	[13C]5H4N4O	[13C]5H4N4O	O=[13C]1N=[13CH]N[13C]2=[13C]1N[13CH]=N2	O=[13C]1N=[13CH]N[13C]2=[13C]1N[13CH]=N2	141.076	141.0552849	10	QReSS
L-Leucine (13C6, 99%)	[13C]6H13NO2	[13C]6H13NO2	[13CH3][13CH]([13CH3])[13CH2][13C@H](N)[13C](O)=O	[13CH3][13CH]([13CH3])[13CH2][13C@H](N)[13C](O)=O	137.129	137.1147577	5	QReSS
L-Phenylalanine (ring-13C6, 99%)	C3[13C]6H11NO2	C3[13C]6H11NO2	N[C@@H](C[13C]1=[13CH][13CH]=[13CH][13CH]=[13CH]1)C(O)=O	N[C@@H](C[13C]1=[13CH][13CH]=[13CH][13CH]=[13CH]1)C(O)=O	171.146	171.0991076	100	QReSS
Thymine (1,3-15N2, 98%)	C5H6[15N]2O2	C5H6[15N]2O2	CC1=C[15NH]C(=O)[15NH]C1=O	CC1=C[15NH]C(=O)[15NH]C1=O	128.101	128.0369972	20	QReSS
L-Tryptophan (13C11, 99%)	[13C]11H12N2O2	[13C]11H12N2O2	N[13C@@H]([13CH2][13C]1=[13CH]N[13C]2=[13C]1[13CH]=[13CH][13CH]=[13CH]2)[13C](O)=O	N[13C@@H]([13CH2][13C]1=[13CH]N[13C]2=[13C]1[13CH]=[13CH][13CH]=[13CH]2)[13C](O)=O	215.145	215.1267808	100	QReSS
L-Tyrosine (ring-13C6, 99%)	C3[13C]6H11NO3	C3[13C]6H11NO3	N[C@@H](C[13C]1=[13CH][13CH]=[13C](O)[13CH]=[13CH]1)C(O)=O	N[C@@H](C[13C]1=[13CH][13CH]=[13C](O)[13CH]=[13CH]1)C(O)=O	187.145	187.0940222	100	QReSS
Vitamin B3 (nicotinamide) (13C6, 99%)	[13C]6H5NO2	[13C]6H5NO2	O[13C](=O)[13C]1=[13CH][13CH]=[13CH]N=[13CH]1	O[13C](=O)[13C]1=[13CH][13CH]=[13CH]N=[13CH]1	129.065	129.0521574	5	QReSS
Citric acid (1,5,6-carboxyl-13C3, 99%)	C3[13C]3H8O7	C3[13C]3H8O7	O[13C](=O)CC(O)(C[13C](O)=O)[13C](O)=O	O[13C](=O)CC(O)(C[13C](O)=O)[13C](O)=O	195.1	195.0370671	10	QReSS
Fumaric acid (13C4, 99%)	[13C]4H4O4	[13C]4H4O4	O[13C](=O)\[13CH]=[13CH]\[13C](O)=O	O[13C](=O)\[13CH]=[13CH]\[13C](O)=O	120.041	120.0243779	100	QReSS
Indole-3-acetic acid (phenyl-13C6, 99%)	C4[13C]6H9NO2	C4[13C]6H9NO2	OC(=O)CC1=CN[13C]2=[13CH][13CH]=[13CH][13CH]=[13C]12	OC(=O)CC1=CN[13C]2=[13CH][13CH]=[13CH][13CH]=[13C]12	181.141	181.0834575	5	QReSS
α-Ketoglutaric acid, disodium salt (1,2,3,4-13C4, 99%) CP 97%	C[13C]4H4Na2O5	C[13C]4H6O5	[Na+].[Na+].[O-]C(=O)[13CH2][13CH2][13C](=O)[13C]([O-])=O	OC(=O)[13CH2][13CH2][13C](=O)[13C](O)=O	194.031	150.0349426	100	QReSS
Sodium palmitate (U-13C16, 98%)	[13C]16H31NaO2	[13C]16H32O2	[Na+].[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13C]([O-])=O	[13CH3][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13CH2][13C](O)=O	294.289	272.2939076	10	QReSS
Sodium pyruvate (13C3, 99%)	[13C]3H3NaO3	[13C]3H4O3	[Na+].[13CH3][13C](=O)[13C]([O-])=O	[13CH3][13C](=O)[13C](O)=O	113.021	91.02610849	100	QReSS
14:0-13:0-14:0 TG-d5	C44H79D5O6	C44H79D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	714.181	713.6581742	25	UltimateSplashOne
14:0-15:1-14:0 TG-d5	C46H81D5O6	C46H81D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	740.219	739.6738242	50	UltimateSplashOne
14:0-17:1-14:0 TG-d5	C48H85D5O6	C48H85D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCC	768.273	767.7051243	75	UltimateSplashOne
16:0-15:1-16:0 TG-d5	C50H89D5O6	C50H89D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	796.327	795.7364245	100	UltimateSplashOne
16:0-17:1-16:0 TG-d5	C52H93D5O6	C52H93D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	824.381	823.7677246	125	UltimateSplashOne
16:0-19:2-16:0 TG-d5	C54H95D5O6	C54H95D5O6	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC	850.419	849.7833747	100	UltimateSplashOne
18:1-17:1-18:1 TG-d5	C56H97D5O6	C56H97D5O6	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/CCCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	876.457	875.7990247	75	UltimateSplashOne
18:1-19:2-18:1 TG-d5	C58H99D5O6	C58H99D5O6	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	902.495	901.8146748	50	UltimateSplashOne
18:1-21:2-18:1 TG-d5	C60H103D5O6	C60H103D5O6	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	[2H]C([2H])(OC(=O)CCCCCCC\C=C/CCCCCCCC)C([2H])(OC(=O)CCCCCCCCCC\C=C/C\C=C/CCCCC)C([2H])([2H])OC(=O)CCCCCCC\C=C/CCCCCCCC	930.549	929.8459749	25	UltimateSplashOne
14:1 cholesteryl-d7 ester	C41H63D7O2	C41H63D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCC	602.052	601.5815187	25	UltimateSplashOne
16:1 cholesteryl-d7 ester	C43H67D7O2	C43H67D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCC	630.106	629.6128188	50	UltimateSplashOne
18:1 cholesteryl-d7 ester	C45H71D7O2	C45H71D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCCCC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCCCC	658.16	657.644119	75	UltimateSplashOne
20:3 cholesteryl-d7 ester	C47H71D7O2	C47H71D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC	682.182	681.644119	50	UltimateSplashOne
22:4 cholesteryl-d7 ester	C49H73D7O2	C49H73D7O2	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	[H][C@@](C)(CCCC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	708.22	707.659769	25	UltimateSplashOne
C16:1 Ceramide-d7 (d18:1-d7/16:1)	C34H58D7NO3	C34H58D7NO3	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCC\C=C/CCCCCC	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCC\C=C/CCCCCC	542.941	542.5403822	75	UltimateSplashOne
C18:1 Ceramide-d7 (d18:1-d7/18:1)	C36H62D7NO3	C36H62D7NO3	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCC\C=C/CCCCCCCC	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCC\C=C/CCCCCCCC	570.995	570.5716823	50	UltimateSplashOne
C20:1 Ceramide-d7 (d18:1-d7/20:1)	C38H66D7NO3	C38H66D7NO3	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCCC	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCCC	599.049	598.6029824	25	UltimateSplashOne
C22:1 Ceramide-d7 (d18:1-d7/22:1)	C40H70D7NO3	C40H70D7NO3	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCCCCCC\C=C/CCCCCCCC	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCCCCCC\C=C/CCCCCCCC	627.103	626.6342826	50	UltimateSplashOne
C24:1 Ceramide-d7 (d18:1-d7/24:1)	C42H74D7NO3	C42H74D7NO3	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC	[H][C@@](O)(\C=C\CCCCCCCCCCC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H])[C@]([H])(CO)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC	655.157	654.6655827	75	UltimateSplashOne
16:1 SM (d18:1/16:1)-d9	C39H68D9N2O6P	C39H68D9N2O6P	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCC\C=C/CCCCCC	[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])NC(=O)CCCCCCC\C=C/CCCCCC	710.082	709.6084159	75	UltimateSplashOne
