"element"	"isotope"	"exact_mass"	"rel_abundance"
"H"	"H1"	1.007825032	99.9885
"H"	"H2"	2.014101778	0.0115
"He"	"He3"	3.016029319	0.000137
"He"	"He4"	4.002603254	99.999863
"Li"	"Li6"	6.015122795	7.59
"Li"	"Li7"	7.01600455	92.41
"Be"	"Be9"	9.0121822	100
"B"	"B10"	10.012937	19.9
"B"	"B11"	11.0093054	80.1
"C"	"C12"	12	98.93
"C"	"C13"	13.00335484	1.07
"N"	"N14"	14.003074	99.632
"N"	"N15"	15.0001089	0.368
"O"	"O16"	15.99491462	99.757
"O"	"O17"	16.9991317	0.038
"O"	"O18"	17.999161	0.205
"F"	"F19"	18.99840322	100
"Ne"	"Ne20"	19.99244018	90.48
"Ne"	"Ne21"	20.99384668	0.27
"Ne"	"Ne22"	21.99138511	9.25
"Na"	"Na23"	22.98976928	100
"Mg"	"Mg24"	23.9850417	78.99
"Mg"	"Mg25"	24.98583692	10
"Mg"	"Mg26"	25.98259293	11.01
"Al"	"Al27"	26.98153863	100
"Si"	"Si28"	27.97692653	92.2297
"Si"	"Si29"	28.9764947	4.6832
"Si"	"Si30"	29.97377017	3.0872
"P"	"P31"	30.97376163	100
"S"	"S32"	31.972071	94.93
"S"	"S33"	32.97145876	0.76
"S"	"S34"	33.9678669	4.29
"S"	"S36"	35.96708076	0.02
"Cl"	"Cl35"	34.96885268	75.78
"Cl"	"Cl37"	36.96590259	24.22
"Ar"	"Ar36"	35.96754511	0.3365
"Ar"	"Ar38"	37.9627324	0.0632
"Ar"	"Ar40"	39.96238312	99.6003
"K"	"K39"	38.96370668	93.2581
"K"	"K40"	39.96399848	0.0117
"K"	"K41"	40.96182576	6.7302
"Ca"	"Ca40"	39.96259098	96.941
"Ca"	"Ca42"	41.95861801	0.647
"Ca"	"Ca43"	42.9587666	0.135
"Ca"	"Ca44"	43.9554818	2.086
"Ca"	"Ca46"	45.9536926	0.004
"Ca"	"Ca48"	47.952534	0.187
"Sc"	"Sc45"	44.9559119	100
"Ti"	"Ti46"	45.9526316	8.25
"Ti"	"Ti47"	46.9517631	7.44
"Ti"	"Ti48"	47.9479463	73.72
"Ti"	"Ti49"	48.94787	5.41
"Ti"	"Ti50"	49.9447912	5.18
"V"	"V50"	49.9471585	0.25
"V"	"V51"	50.9439595	99.75
"Cr"	"Cr50"	49.9460442	4.345
"Cr"	"Cr52"	51.9405075	83.789
"Cr"	"Cr53"	52.9406494	9.501
"Cr"	"Cr54"	53.9388804	2.365
"Mn"	"Mn55"	54.9380451	100
"Fe"	"Fe54"	53.9396105	5.845
"Fe"	"Fe56"	55.9349375	91.754
"Fe"	"Fe57"	56.935394	2.119
"Fe"	"Fe58"	57.9332756	0.282
"Co"	"Co59"	58.933195	100
"Ni"	"Ni58"	57.9353429	68.0769
"Ni"	"Ni60"	59.9307864	26.2231
"Ni"	"Ni61"	60.931056	1.1399
"Ni"	"Ni62"	61.9283451	3.6345
"Ni"	"Ni64"	63.927966	0.9256
"Cu"	"Cu63"	62.9295975	69.17
"Cu"	"Cu65"	64.9277895	30.83
"Zn"	"Zn64"	63.9291422	48.63
"Zn"	"Zn66"	65.9260334	27.9
"Zn"	"Zn67"	66.9271273	4.1
"Zn"	"Zn68"	67.9248442	18.75
"Zn"	"Zn70"	69.9253193	0.62
"Ga"	"Ga69"	68.9255736	60.108
"Ga"	"Ga71"	70.9247013	39.892
"Ge"	"Ge70"	69.9242474	20.84
"Ge"	"Ge72"	71.9220758	27.54
"Ge"	"Ge73"	72.9234589	7.73
"Ge"	"Ge74"	73.9211778	36.28
"Ge"	"Ge76"	75.9214026	7.61
"As"	"As75"	74.9215965	100
"Se"	"Se74"	73.9224764	0.89
"Se"	"Se76"	75.9192136	9.37
"Se"	"Se77"	76.919914	7.63
"Se"	"Se78"	77.9173091	23.77
"Se"	"Se80"	79.9165213	49.61
"Se"	"Se82"	81.9166994	8.73
"Br"	"Br79"	78.9183371	50.69
"Br"	"Br81"	80.9162906	49.31
"Kr"	"Kr78"	77.9203648	0.35
"Kr"	"Kr80"	79.916379	2.28
"Kr"	"Kr82"	81.9134836	11.58
"Kr"	"Kr83"	82.914136	11.49
"Kr"	"Kr84"	83.911507	57
"Kr"	"Kr86"	85.91061073	17.3
"Rb"	"Rb85"	84.91178974	72.17
"Rb"	"Rb87"	86.90918053	27.83
"Sr"	"Sr84"	83.913425	0.56
"Sr"	"Sr86"	85.9092602	9.86
"Sr"	"Sr87"	86.9088771	7
"Sr"	"Sr88"	87.9056121	82.58
"Y"	"Y89"	88.9058483	100
"Zr"	"Zr90"	89.9047044	51.45
"Zr"	"Zr91"	90.9056458	11.22
"Zr"	"Zr92"	91.9050408	17.15
"Zr"	"Zr94"	93.9063152	17.38
"Zr"	"Zr96"	95.9082734	2.8
"Nb"	"Nb93"	92.9063781	100
"Mo"	"Mo92"	91.906811	14.84
"Mo"	"Mo94"	93.9050883	9.25
"Mo"	"Mo95"	94.9058421	15.92
"Mo"	"Mo96"	95.9046795	16.68
"Mo"	"Mo97"	96.9060215	9.55
"Mo"	"Mo98"	97.9054082	24.13
"Mo"	"Mo100"	99.907477	9.63
"Ru"	"Ru96"	95.907598	5.54
"Ru"	"Ru98"	97.905287	1.87
"Ru"	"Ru99"	98.9059393	12.76
"Ru"	"Ru100"	99.9042195	12.6
"Ru"	"Ru101"	100.9055821	17.06
"Ru"	"Ru102"	101.9043493	31.55
"Ru"	"Ru104"	103.905433	18.62
"Rh"	"Rh103"	102.905504	100
"Pd"	"Pd102"	101.905609	1.02
"Pd"	"Pd104"	103.904036	11.14
"Pd"	"Pd105"	104.905085	22.33
"Pd"	"Pd106"	105.903486	27.33
"Pd"	"Pd108"	107.903892	26.46
"Pd"	"Pd110"	109.905153	11.72
"Ag"	"Ag107"	106.905097	51.839
"Ag"	"Ag109"	108.904752	48.161
"Cd"	"Cd106"	105.906459	1.25
"Cd"	"Cd108"	107.904184	0.89
"Cd"	"Cd110"	109.9030021	12.49
"Cd"	"Cd111"	110.9041781	12.8
"Cd"	"Cd112"	111.9027578	24.13
"Cd"	"Cd113"	112.9044017	12.22
"Cd"	"Cd114"	113.9033585	28.73
"Cd"	"Cd116"	115.904756	7.49
"In"	"In113"	112.904058	4.29
"In"	"In115"	114.903878	95.71
"Sn"	"Sn112"	111.904818	0.97
"Sn"	"Sn114"	113.902779	0.66
"Sn"	"Sn115"	114.903342	0.34
"Sn"	"Sn116"	115.901741	14.54
"Sn"	"Sn117"	116.902952	7.68
"Sn"	"Sn118"	117.901603	24.22
"Sn"	"Sn119"	118.903308	8.59
"Sn"	"Sn120"	119.9021947	32.58
"Sn"	"Sn122"	121.903439	4.63
"Sn"	"Sn124"	123.9052739	5.79
"Sb"	"Sb121"	120.9038157	57.21
"Sb"	"Sb123"	122.904214	42.79
"Te"	"Te120"	119.90402	0.09
"Te"	"Te122"	121.9030439	2.55
"Te"	"Te123"	122.90427	0.89
"Te"	"Te124"	123.9028179	4.74
"Te"	"Te125"	124.9044307	7.07
"Te"	"Te126"	125.9033117	18.84
"Te"	"Te128"	127.9044631	31.74
"Te"	"Te130"	129.9062244	34.08
"I"	"I127"	126.904473	100
"Xe"	"Xe124"	123.905893	0.09
"Xe"	"Xe126"	125.904274	0.09
"Xe"	"Xe128"	127.9035313	1.92
"Xe"	"Xe129"	128.9047794	26.44
"Xe"	"Xe130"	129.903508	4.08
"Xe"	"Xe131"	130.9050824	21.18
"Xe"	"Xe132"	131.9041535	26.89
"Xe"	"Xe134"	133.9053945	10.44
"Xe"	"Xe136"	135.907219	8.87
"Cs"	"Cs133"	132.9054519	100
"Ba"	"Ba130"	129.9063208	0.106
"Ba"	"Ba132"	131.9050613	0.101
"Ba"	"Ba134"	133.9045084	2.417
"Ba"	"Ba135"	134.9056886	6.592
"Ba"	"Ba136"	135.9045759	7.854
"Ba"	"Ba137"	136.9058274	11.232
"Ba"	"Ba138"	137.9052472	71.698
"La"	"La138"	137.907112	0.09
"La"	"La139"	138.9063533	99.91
"Ce"	"Ce136"	135.907172	0.185
"Ce"	"Ce138"	137.905991	0.251
"Ce"	"Ce140"	139.9054387	88.45
"Ce"	"Ce142"	141.909244	11.114
"Pr"	"Pr141"	140.9076528	100
"Nd"	"Nd142"	141.9077233	27.2
"Nd"	"Nd143"	142.9098143	12.2
"Nd"	"Nd144"	143.9100873	23.8
"Nd"	"Nd145"	144.9125736	8.3
"Nd"	"Nd146"	145.9131169	17.2
"Nd"	"Nd148"	147.916893	5.7
"Nd"	"Nd150"	149.920891	5.6
"Sm"	"Sm144"	143.911999	3.07
"Sm"	"Sm147"	146.9148979	14.99
"Sm"	"Sm148"	147.9148227	11.24
"Sm"	"Sm149"	148.9171847	13.82
"Sm"	"Sm150"	149.9172755	7.38
"Sm"	"Sm152"	151.9197324	26.75
"Sm"	"Sm154"	153.9222093	22.75
"Eu"	"Eu151"	150.9198502	47.81
"Eu"	"Eu153"	152.9212303	52.19
"Gd"	"Gd152"	151.919791	0.2
"Gd"	"Gd154"	153.9208656	2.18
"Gd"	"Gd155"	154.922622	14.8
"Gd"	"Gd156"	155.9221227	20.47
"Gd"	"Gd157"	156.9239601	15.65
"Gd"	"Gd158"	157.9241039	24.84
"Gd"	"Gd160"	159.9270541	21.86
"Tb"	"Tb159"	158.9253468	100
"Dy"	"Dy156"	155.924283	0.06
"Dy"	"Dy158"	157.924409	0.1
"Dy"	"Dy160"	159.9251975	2.34
"Dy"	"Dy161"	160.9269334	18.91
"Dy"	"Dy162"	161.9267984	25.51
"Dy"	"Dy163"	162.9287312	24.9
"Dy"	"Dy164"	163.9291748	28.18
"Ho"	"Ho165"	164.9303221	100
"Er"	"Er162"	161.928778	0.14
"Er"	"Er164"	163.9292	1.61
"Er"	"Er166"	165.9302931	33.61
"Er"	"Er167"	166.9320482	22.93
"Er"	"Er168"	167.9323702	26.78
"Er"	"Er170"	169.9354643	14.93
"Tm"	"Tm169"	168.9342133	100
"Yb"	"Yb168"	167.933897	0.13
"Yb"	"Yb170"	169.9347618	3.04
"Yb"	"Yb171"	170.9363258	14.28
"Yb"	"Yb172"	171.9363815	21.83
"Yb"	"Yb173"	172.9382108	16.13
"Yb"	"Yb174"	173.9388621	31.83
"Yb"	"Yb176"	175.9425717	12.76
"Lu"	"Lu175"	174.9407718	97.41
"Lu"	"Lu176"	175.9426863	2.59
"Hf"	"Hf174"	173.940046	0.16
"Hf"	"Hf176"	175.9414086	5.26
"Hf"	"Hf177"	176.9432207	18.6
"Hf"	"Hf178"	177.9436988	27.28
"Hf"	"Hf179"	178.9458161	13.62
"Hf"	"Hf180"	179.94655	35.08
"Ta"	"Ta180"	179.9474648	0.012
"Ta"	"Ta181"	180.9479958	99.988
"W"	"W180"	179.946704	0.12
"W"	"W182"	181.9482042	26.5
"W"	"W183"	182.950223	14.31
"W"	"W184"	183.9509312	30.64
"W"	"W186"	185.9543641	28.43
"Re"	"Re185"	184.952955	37.4
"Re"	"Re187"	186.9557531	62.6
"Os"	"Os184"	183.9524891	0.02
"Os"	"Os186"	185.9538382	1.59
"Os"	"Os187"	186.9557505	1.96
"Os"	"Os188"	187.9558382	13.24
"Os"	"Os189"	188.9581475	16.15
"Os"	"Os190"	189.958447	26.26
"Os"	"Os192"	191.9614807	40.78
"Ir"	"Ir191"	190.960594	37.3
"Ir"	"Ir193"	192.9629264	62.7
"Pt"	"Pt190"	189.959932	0.014
"Pt"	"Pt192"	191.961038	0.782
"Pt"	"Pt194"	193.9626803	32.967
"Pt"	"Pt195"	194.9647911	33.832
"Pt"	"Pt196"	195.9649515	25.242
"Pt"	"Pt198"	197.967893	7.163
"Au"	"Au197"	196.9665687	100
"Hg"	"Hg196"	195.965833	0.15
"Hg"	"Hg198"	197.966769	9.97
"Hg"	"Hg199"	198.9682799	16.87
"Hg"	"Hg200"	199.968326	23.1
"Hg"	"Hg201"	200.9703023	13.18
"Hg"	"Hg202"	201.970643	29.86
"Hg"	"Hg204"	203.9734939	6.87
"Tl"	"Tl203"	202.9723442	29.524
"Tl"	"Tl205"	204.9744275	70.476
"Pb"	"Pb204"	203.9730436	1.4
"Pb"	"Pb206"	205.9744653	24.1
"Pb"	"Pb207"	206.9758969	22.1
"Pb"	"Pb208"	207.9766521	52.4
"Bi"	"Bi209"	208.9803987	100
"Th"	"Th232"	232.0380553	100
"Pa"	"Pa231"	231.035884	100
"U"	"U234"	234.0409521	0.0055
"U"	"U235"	235.0439299	0.72
"U"	"U238"	238.0507882	99.2745
