"name"	"degree"	"minmass"	"md"	"min_slope"	"max_slope"
"[15]N1"	"[15]N1"	1	17.026549106	0.997034959999979	3.61889365033561e-06	9.86833449659233e-05
"[33]S1"	"[33]S1"	1	31.97207073	0.999387809999916	6.63741473108209e-06	0.00017065937550155
"[13]C1"	"[13]C1"	1	16.031300128	1.00335483999999	0.000293723953956577	0.000764093937590844
"[17]O1"	"[17]O1"	1	17.002739652	1.00421688	1.34054955082892e-06	1.20888233247463e-05
"[2]H1"	"[2]H1"	1	1.007825032	1.00627674599997	3.59402183931232e-06	1.46896646333128e-05
"[34]S1"	"[34]S1"	1	31.97207073	1.99579613999992	3.76120168094652e-05	0.000967069794508784
"[37]Cl1"	"[37]Cl1"	1	34.96885271	1.99704989	0.000404408203180735	0.00818052492730633
"[13]C1[15]N1"	"[13]C1[15]N1"	2	55.04219917	2.00038979999999	4.44678613684893e-05	0.000206608405884702
"[13]C1[33]S1"	"[13]C1[33]S1"	2	62.019020922	2.00274264999996	5.31108395856394e-05	0.000218257823671373
"[18]O1"	"[18]O1"	1	17.002739652	2.00424577999999	7.23044439170603e-06	6.52160205677104e-05
"[13]C2"	"[13]C2"	2	28.031300128	2.00670967999997	0.000194748353411071	0.000528483191495852
"[13]C1[17]O1"	"[13]C1[17]O1"	2	154.026608672	2.00757171999999	3.682162549269e-05	7.01625086300854e-05
"[2]H1[13]C1"	"[2]H1[13]C1"	2	98.109550448	2.00963158600001	4.05151864373114e-05	0.000102552985987885
"[15]N1[34]S1"	"[15]N1[34]S1"	2	57.97514474	2.99283110000002	2.4361382061039e-05	0.000167915173684667
"[15]N1[37]Cl1"	"[15]N1[37]Cl1"	2	64.96684134	2.99408484999998	5.6867748340208e-05	0.000460380980539616
"[33]S1[34]S1"	"[33]S1[34]S1"	2	75.94414146	2.99518395000001	1.98547621730852e-05	0.000437906627986534
"[33]S1[37]Cl1"	"[33]S1[37]Cl1"	2	185.8767615	2.9964377	8.36017119675029e-05	0.000444258998398159
"[13]C1[34]S1"	"[13]C1[34]S1"	2	48.003370858	2.99915097999997	0.000126434243828576	0.000519557542239544
"[17]O1[34]S1"	"[17]O1[34]S1"	2	129.939450004	3.00001301999998	1.50448395352328e-05	5.45689363712882e-05
"[13]C1[37]Cl1"	"[13]C1[37]Cl1"	2	77.987242426	3.00040472999996	0.000352442304938187	0.00138672598164434
"[17]O1[37]Cl1"	"[17]O1[37]Cl1"	2	66.95868195	3.00126677000003	3.0166388945702e-05	0.000222464211668967
"[2]H1[37]Cl1"	"[2]H1[37]Cl1"	2	80.00289249	3.003326636	4.7789637170614e-05	0.000172346979981426
"[18]O1[33]S1"	"[18]O1[33]S1"	2	129.939450004	3.00363358999999	1.46915954821082e-05	5.36110047731283e-05
"[13]C2[15]N1"	"[13]C2[15]N1"	3	213.101445402	3.00374464000015	7.96599388790518e-05	0.000208263396328019
"[13]C2[33]S1"	"[13]C2[33]S1"	3	228.006741716	3.00609749	7.53946572416034e-05	0.000189345105374255
"[13]C1[18]O1"	"[13]C1[18]O1"	2	70.005479304	3.00760061999998	6.96799511446886e-05	0.000162948522564326
"[13]C3"	"[13]C3"	3	128.062600256	3.01006451999996	0.000190848905969696	0.000402403989328521
"[13]C2[17]O1"	"[13]C2[17]O1"	3	486.079826016	3.01092656000014	7.93568431960834e-05	0.000105780230466901
"[2]H1[13]C2"	"[2]H1[13]C2"	3	308.344301408	3.01298642600011	7.87785530571917e-05	0.000153763731743039
"[34]S2"	"[34]S2"	2	75.94414146	3.99159228000002	3.34205447695131e-05	0.000737106691981914
"[34]S1[37]Cl1"	"[34]S1[37]Cl1"	2	185.8767615	3.99284603000001	0.000199011880839859	0.00105754794693219
"[37]Cl2"	"[37]Cl2"	2	83.953355484	3.99409977999994	0.000311975971741518	0.00485815474391377
"[13]C1[15]N1[37]Cl1"	"[13]C1[15]N1[37]Cl1"	3	129.009374868	3.99743968999996	0.000126748942806048	0.000413412544349926
"[13]C1[33]S1[37]Cl1"	"[13]C1[33]S1[37]Cl1"	3	185.8767615	3.99979253999999	0.000163501937545247	0.000348758031365873
"[18]O1[34]S1"	"[18]O1[34]S1"	2	63.96189997	4.00004191999994	3.19988398581501e-05	0.00015220354369234
"[18]O1[37]Cl1"	"[18]O1[37]Cl1"	2	51.971592362	4.00129567	6.24943613760989e-05	0.000507180147602319
"[13]C2[34]S1"	"[13]C2[34]S1"	3	136.034670986	4.00250582000001	0.000134415636648796	0.000376653064478217
"[13]C2[37]Cl1"	"[13]C2[37]Cl1"	3	109.969005548	4.00375956999994	0.000309182507794483	0.000731492026636767
"[13]C2[18]O1"	"[13]C2[18]O1"	3	268.037173356	4.01095545999993	0.000132488936389657	0.000186115132223885
"[13]C4"	"[13]C4"	4	302.109550448	4.01341936000017	0.000180207857987761	0.000321278742972852
"[2]H1[13]C3"	"[2]H1[13]C3"	4	636.62091718	4.01634126600015	0.000115129804073613	0.000169321787483839
"[15]N1[37]Cl2"	"[15]N1[37]Cl2"	3	118.90963214	4.99113474000001	0.000130716911114693	0.000744079758447051
"[33]S1[34]S1[37]Cl1"	"[33]S1[34]S1[37]Cl1"	3	185.8767615	4.99223384000004	0.00013549069945825	0.000400883907755638
"[33]S1[37]Cl2"	"[33]S1[37]Cl2"	3	185.8767615	4.99348759000003	0.000168218993441484	0.000620355587385167
"[13]C1[34]S2"	"[13]C1[34]S2"	3	123.947512318	4.99494712000003	7.85574206761758e-05	0.000444551224158468
"[13]C1[34]S1[37]Cl1"	"[13]C1[34]S1[37]Cl1"	3	185.8767615	4.99620087	0.000291495681955681	0.000621775262830648
"[13]C1[37]Cl2"	"[13]C1[37]Cl2"	3	83.953355484	4.99745461999993	0.000369164869977831	0.00169307813536589
"[13]C1[18]O1[34]S1"	"[13]C1[18]O1[34]S1"	3	333.01882253	5.00339675999999	7.96072654220859e-05	0.000160623680506224
"[13]C1[18]O1[37]Cl1"	"[13]C1[18]O1[37]Cl1"	3	173.971986286	5.00465051	0.000137719626600597	0.00033204034601126
"[13]C3[37]Cl1"	"[13]C3[37]Cl1"	4	250.112442938	5.00711440999993	0.000270619550044771	0.000502319468414785
"[13]C3[18]O1"	"[13]C3[18]O1"	4	590.121296904	5.01431030000015	0.00015437181505009	0.000187410234311057
"[13]C5"	"[13]C5"	5	636.62091718	5.01677420000021	0.000184411696882229	0.000268508252841363
"[34]S2[37]Cl1"	"[34]S2[37]Cl1"	3	185.8767615	5.98864217000005	0.000191723511690227	0.000567263073276076
"[34]S1[37]Cl2"	"[34]S1[37]Cl2"	3	185.8767615	5.98989592000004	0.000299905376947315	0.00110598674067586
"[37]Cl3"	"[37]Cl3"	3	117.914383162	5.99114966999991	0.000629343524667187	0.00350646955517177
"[18]O1[37]Cl2"	"[18]O1[37]Cl2"	3	111.948270104	5.99834555999996	0.000129165836009881	0.000664716045044345
"[13]C2[34]S1[37]Cl1"	"[13]C2[34]S1[37]Cl1"	4	267.978334078	5.99955571000004	0.000265619686813167	0.000451914067744914
"[13]C2[37]Cl2"	"[13]C2[37]Cl2"	4	196.920196824	6.00080945999991	0.00032456906025352	0.000901599848055758
"[13]C1[34]S1[37]Cl2"	"[13]C1[34]S1[37]Cl2"	4	185.8767615	6.99325076000002	0.000308578116887133	0.00070539526243899
"[13]C1[37]Cl3"	"[13]C1[37]Cl3"	4	117.914383162	6.9945045099999	0.000608975684253377	0.00172269276611126
"[34]S1[37]Cl3"	"[34]S1[37]Cl3"	4	257.90758326	7.98694581000007	0.000449896884989679	0.000796057757056148
"[37]Cl4"	"[37]Cl4"	4	151.87541084	7.98819955999988	0.000752641609264636	0.00275628279671484
"[13]C2[37]Cl3"	"[13]C2[37]Cl3"	5	263.847003202	7.99785934999989	0.000492924865087689	0.000988937032666801
"[13]C1[37]Cl4"	"[13]C1[37]Cl4"	5	243.901625588	8.99155439999987	0.000681239147829591	0.00163713006977793
"[34]S1[37]Cl4"	"[34]S1[37]Cl4"	5	346.910810108	9.98399570000004	0.000622298128581804	0.000622298128581804
"[37]Cl5"	"[37]Cl5"	5	261.80803088	9.98524944999986	0.000928275568246239	0.0022306312133015
"[13]C1[37]Cl5"	"[13]C1[37]Cl5"	6	261.80803088	10.9886042899998	0.000810774037453995	0.00149601456644527
"[37]Cl6"	"[37]Cl6"	6	261.80803088	11.9822993399998	0.000796081911987338	0.00183334993745503
"[13]C1[37]Cl6"	"[13]C1[37]Cl6"	7	399.75082168	12.9856541799998	0.000939226962723584	0.00134227013068494
"[37]Cl7"	"[37]Cl7"	7	399.75082168	13.9793492299998	0.00086735040731923	0.00153036323700018
