"name"	"md"	"leftend"	"rightend"	"LBint"	"LBslope"	"UBint"	"UBslope"
"78"	"[15]N1"	0.997034960000008	0	31.029623116	0	2.08599089668205e-06	0	0.000235471632451344
"79"	"[15]N1"	0.997034960000008	31.029623116	125.05756922	0	2.08599089668205e-06	0.00248418033777414	0.000155413285352272
"80"	"[15]N1"	0.997034960000008	125.05756922	423.09475941	0	2.08599089668205e-06	0.0157880355740743	4.90314380216543e-05
"81"	"[15]N1"	0.997034960000008	423.09475941	874.407243394	0	2.08599089668205e-06	0.019408578493901	4.04741518834959e-05
"82"	"[15]N1"	0.997034960000008	874.407243394	1473.90447097	0	2.08599089668205e-06	0.0121708127138184	4.87514915724825e-05
"83"	"[15]N1"	0.997034960000008	1473.90447097	2008.028583926	0	2.08599089668205e-06	0.0537822526742565	2.05193769544619e-05
"84"	"[15]N1"	0.997034960000008	2008.028583926	3502.697936552	0	2.08599089668205e-06	-0.0326257235861451	6.35506250911099e-05
"85"	"[15]N1"	0.997034960000008	3502.697936552	5269.166269444	-0.036157753091603	1.24088202546701e-05	-0.0326257235861451	6.35506250911099e-05
"109"	"[33]S1"	0.999387809999916	0	32.979895762	0	3.84393233581805e-06	0	0.000239405485435734
"110"	"[33]S1"	0.999387809999916	32.979895762	78.967616556	0	3.84393233581805e-06	0.00223329542554938	0.000171688612051234
"111"	"[33]S1"	0.999387809999916	78.967616556	204.840249412	0	3.84393233581805e-06	-0.0040223586871265	0.000250906579941143
"112"	"[33]S1"	0.999387809999916	204.840249412	304.874920398	0	3.84393233581805e-06	0.0312057121360683	7.89283143204071e-05
"113"	"[33]S1"	0.999387809999916	304.874920398	350.880399702	0	3.84393233581805e-06	0.0552689756816507	1.50827553780185e-19
"114"	"[33]S1"	0.999387809999916	350.880399702	1505.943505914	0	3.84393233581805e-06	0.0528704919755593	6.83561609063494e-06
"115"	"[33]S1"	0.999387809999916	1505.943505914	2054.03406323	0	3.84393233581805e-06	0.0631645436361722	0
"116"	"[33]S1"	0.999387809999916	2054.03406323	3548.68101575	-0.0138055642088847	1.056512769281e-05	0.0631645436361722	0
"1"	"[13]C1"	1.00335484000001	0	139.054775224	0	3.57064075466879e-05	0	0.000855583787240703
"2"	"[13]C1"	1.00335484000001	139.054775224	161.03912516	0	3.57064075466879e-05	-0.017849653176033	0.000983947974283395
"3"	"[13]C1"	1.00335484000001	161.03912516	301.101725416	0	3.57064075466879e-05	0.00381342144831914	0.000849427406049875
"4"	"[13]C1"	1.00335484000001	301.101725416	302.907210102	0	3.57064075466879e-05	0.0355789097936103	0.000743929875933087
