"name"	"md"	"leftend"	"rightend"	"LBint"	"LBslope"	"UBint"	"UBslope"
"75"	"[15]N1"	0.997034959999979	0	28.00614802	-8.67361737988404e-19	2.11313746507159e-06	0	0.00026089257273998
"76"	"[15]N1"	0.997034959999979	28.00614802	126.065394252	-8.67361737988404e-19	2.11313746507159e-06	0.00313300469143504	0.00014902411124368
"77"	"[15]N1"	0.997034959999979	126.065394252	424.102584442	-8.67361737988404e-19	2.11313746507159e-06	0.0157386204634811	4.90314380216543e-05
"78"	"[15]N1"	0.997034959999979	424.102584442	875.415068426	-8.67361737988404e-19	2.11313746507159e-06	0.0193677876304838	4.04741518834959e-05
"79"	"[15]N1"	0.997034959999979	875.415068426	1474.912296002	-8.67361737988404e-19	2.11313746507159e-06	0.0121216797402644	4.87514915724824e-05
"80"	"[15]N1"	0.997034959999979	1474.912296002	2009.036408958	-8.67361737988404e-19	2.11313746507159e-06	0.0537615727325207	2.05193769544619e-05
"81"	"[15]N1"	0.997034959999979	2009.036408958	3457.70028228	-8.67361737988404e-19	2.11313746507159e-06	-0.0326897714969112	6.35506250911098e-05
"82"	"[15]N1"	0.997034959999979	3457.70028228	5224.168615172	-0.0355993852878599	1.24088202546701e-05	-0.0326897714969112	6.35506250911098e-05
"113"	"[33]S1"	0.999387809999916	0	31.97207073	0	3.93002731026493e-06	0	0.000246952035768924
"114"	"[33]S1"	0.999387809999916	31.97207073	75.94414146	0	3.93002731026493e-06	0.00215470442672642	0.000179558702227202
"115"	"[33]S1"	0.999387809999916	75.94414146	205.848074444	0	3.93002731026493e-06	-0.00267241991629381	0.00024312021270346
"116"	"[33]S1"	0.999387809999916	205.848074444	305.88274543	0	3.93002731026493e-06	0.0311261662051626	7.89283143204072e-05
"117"	"[33]S1"	0.999387809999916	305.88274543	2009.036408958	0	3.93002731026493e-06	0.0532581679461203	6.57378608493824e-06
"118"	"[33]S1"	0.999387809999916	2009.036408958	3503.683361478	-0.0133301582456241	1.056512769281e-05	0.0532581679461203	6.57378608493824e-06
"1"	"[13]C1"	1.00335483999999	0	140.062600256	0	4.24371785642623e-05	0	0.000849427406049875
"2"	"[13]C1"	1.00335483999999	140.062600256	162.046950192	0	4.24371785642623e-05	-0.0188413005747015	0.000983947974283395
"3"	"[13]C1"	1.00335483999999	162.046950192	254.86445279	0	4.24371785642623e-05	0.00295734724563523	0.000849427406049875
"4"	"[13]C1"	1.00335483999999	254.86445279	302.109550448	-0.0135815132254586	9.57263410064226e-05	0.00295734724563523	0.000849427406049875
"5"	"[13]C1"	1.00335483999999	302.109550448	819.79403116	-0.0135815132254586	9.57263410064226e-05	0.0348291586425923	0.000743929875933087
"6"	"[13]C1"	1.00335483999999	819.79403116	970.886968268	-0.257690775587749	0.000393495357471301	0.0348291586425923	0.000743929875933087
"7"	"[13]C1"	1.00335483999999	970.886968268	1381.278219868	-0.257690775587749	0.000393495357471301	-0.0105213514274711	0.000790640267103509
"8"	"[13]C1"	1.00335483999999	1381.278219868	1506.951330946	-0.257690775587749	0.000393495357471301	0.655293368840146	0.000308612308730832
"9"	"[13]C1"	1.00335483999999	1506.951330946	3133.59463544	-0.352399969127985	0.000456343567360588	0.655293368840146	0.000308612308730832
"10"	"[13]C1"	1.00335483999999	3133.59463544	3457.70028228	-0.352399969127985	0.000456343567360588	0.3675051497491	0.000400451953794124
"11"	"[13]C1"	1.00335483999999	3457.70028228	5224.168615172	-0.352399969127985	0.000456343567360588	0.71477881147076	0.000300017088603129
"12"	"[13]C1"	1.00335483999999	5224.168615172	6176.01785464401	-0.352399969127985	0.000456343567360588	1.27297335429212	0.000193168595773044
"215"	"[17]O1"	1.00421688	0	31.98982924	0	2.75777641208496e-07	0	2.38154224875673e-05
"216"	"[17]O1"	1.00421688	31.98982924	47.98474386	0	2.75777641208496e-07	2.16840434497101e-19	2.38154224875673e-05
"217"	"[17]O1"	1.00421688	47.98474386	301.998221672	0	2.75777641208496e-07	0.000495143685247551	1.3496649364756e-05
"218"	"[17]O1"	1.00421688	301.998221672	819.79403116	0	2.75777641208496e-07	0.000572041753913856	1.32420184989166e-05
"219"	"[17]O1"	1.00421688	819.79403116	1381.278219868	0	2.75777641208496e-07	0.00279316587319787	1.05326500052949e-05
"220"	"[17]O1"	1.00421688	1381.278219868	1506.951330946	-0.00966823006136958	7.27525821094738e-06	0.00279316587319787	1.05326500052949e-05
"221"	"[17]O1"	1.00421688	1506.951330946	3097.014209664	-0.00966823006136958	7.27525821094738e-06	0.00169765583449852	1.12596210867111e-05
"222"	"[17]O1"	1.00421688	3097.014209664	3318.563277864	-0.00966823006136958	7.27525821094738e-06	0.0316278268471471	1.59541905649318e-06
"223"	"[17]O1"	1.00421688	3318.563277864	3503.683361478	-0.0264969072340118	1.23463313723047e-05	0.0316278268471471	1.59541905649318e-06
"224"	"[17]O1"	1.00421688	3503.683361478	4290.824850754	-0.0468496477724479	1.81552868167974e-05	0.0316278268471471	1.59541905649318e-06
"225"	"[17]O1"	1.00421688	4290.824850754	5224.168615172	-0.0468496477724479	1.81552868167974e-05	-0.0395576030591008	1.81855695245877e-05
"226"	"[17]O1"	1.00421688	5224.168615172	6176.01785464401	-0.0878980908588108	2.60126984185498e-05	-0.0395576030591008	1.81855695245877e-05
"227"	"[2]H1"	1.00627674599997	0	2.015650064	0	9.05918812850746e-07	0	0.000114120232053385
"228"	"[2]H1"	1.00627674599997	2.015650064	114.140850576	0	9.05918812850746e-07	0.000196945373486117	1.64121144571764e-05
"229"	"[2]H1"	1.00627674599997	114.140850576	126.957542872	0	9.05918812850746e-07	0.000196945373486117	1.64121144571764e-05
"230"	"[2]H1"	1.00627674599997	126.957542872	128.15650064	-6.53104744711118e-05	1.42034649468576e-06	0.000196945373486117	1.64121144571764e-05
"231"	"[2]H1"	1.00627674599997	128.15650064	207.933013964	-6.53104744711118e-05	1.42034649468576e-06	0.000196945373486117	1.64121144571764e-05
"232"	"[2]H1"	1.00627674599997	207.933013964	259.904606326	-0.000230129677439137	2.21300178220331e-06	0.000196945373486117	1.64121144571764e-05
"233"	"[2]H1"	1.00627674599997	259.904606326	436.500802048	-0.000266629408101143	2.35343688713647e-06	0.000196945373486117	1.64121144571764e-05
"234"	"[2]H1"	1.00627674599997	436.500802048	464.532102176	-0.000266629408101143	2.35343688713647e-06	0.000196945373486144	1.64121144571763e-05
"235"	"[2]H1"	1.00627674599997	464.532102176	508.582126378	-0.000266629408101143	2.35343688713647e-06	0.00054362723002239	1.56658111233222e-05
"236"	"[2]H1"	1.00627674599997	508.582126378	601.99688424	-0.000266629408101143	2.35343688713647e-06	0.00109032453397491	1.45908671258876e-05
"237"	"[2]H1"	1.00627674599997	601.99688424	886.944483144	-0.000976404213059928	3.53247090465444e-06	0.00109032453397491	1.45908671258876e-05
"238"	"[2]H1"	1.00627674599997	886.944483144	1185.158892584	-0.000976404213059928	3.53247090465444e-06	0.00376949917808806	1.15701880472872e-05
"239"	"[2]H1"	1.00627674599997	1185.158892584	1188.056368736	-0.000976404213059928	3.53247090465444e-06	0.00720859966995146	8.66838263251692e-06
"240"	"[2]H1"	1.00627674599997	1188.056368736	1689.3478276	-0.00143943997438075	3.92221315384877e-06	0.00720859966995146	8.66838263251692e-06
"241"	"[2]H1"	1.00627674599997	1689.3478276	2654.234034376	-0.00143943997438075	3.92221315384877e-06	0.0137805958300901	4.77812625501575e-06
"242"	"[2]H1"	1.00627674599997	2654.234034376	3133.59463544	-0.0173800162342785	9.92792932410554e-06	0.0137805958300901	4.77812625501575e-06
"243"	"[2]H1"	1.00627674599997	3133.59463544	3457.70028228	-0.0173800162342785	9.92792932410554e-06	0.00651334671935562	7.09726767443998e-06
"244"	"[2]H1"	1.00627674599997	3457.70028228	5224.168615172	-0.0173800162342785	9.92792932410554e-06	0.00719001618451809	6.90156839170277e-06
"245"	"[2]H1"	1.00627674599997	5224.168615172	6176.01785464401	-0.0173800162342785	9.92792932410554e-06	0.0394575131620445	7.24988086883474e-07
"135"	"[34]S1"	1.99579613999992	0	31.97207073	0	2.2270154758168e-05	0	0.00139939486935724
"136"	"[34]S1"	1.99579613999992	31.97207073	75.94414146	0	2.2270154758168e-05	0.0122099917514497	0.00101749931262081
"137"	"[34]S1"	1.99579613999992	75.94414146	205.848074444	0	2.2270154758168e-05	-0.0151437128589983	0.00137768120531961
"138"	"[34]S1"	1.99579613999992	205.848074444	305.88274543	0	2.2270154758168e-05	0.176381608495921	0.000447260447815641
"139"	"[34]S1"	1.99579613999992	305.88274543	2009.036408958	0	2.2270154758168e-05	0.301796285028015	3.72514544813167e-05
"140"	"[34]S1"	1.99579613999992	2009.036408958	3503.683361478	-0.0755375633918699	5.98690569259231e-05	0.301796285028015	3.72514544813167e-05
"162"	"[37]Cl1"	1.99704989	0	34.96885271	0	0.000196202972474637	0	0.00914979293158619
"163"	"[37]Cl1"	1.99704989	34.96885271	51.971592362	0	0.000196202972474637	0.319957761351637	0
"164"	"[37]Cl1"	1.99704989	51.971592362	83.953355484	0	0.000196202972474637	-0.199985879109717	0.0100043815636775
"165"	"[37]Cl1"	1.99704989	83.953355484	151.87541084	0	0.000196202972474637	-0.151036033100785	0.00942132153317922
"166"	"[37]Cl1"	1.99704989	151.87541084	261.80803088	0	0.000196202972474637	0.395767399164963	0.00582097945514657
"167"	"[37]Cl1"	1.99704989	261.80803088	1630.748797106	0	0.000196202972474637	0.11063159357424	0.00691008204925842
"288"	"[13]C1[15]N1"	2.00038979999999	0	149.070145274	1.35525271560688e-20	3.96488772591804e-07	0	7.95190985807213e-06
"289"	"[13]C1[15]N1"	2.00038979999999	149.070145274	298.972490444	1.35525271560688e-20	3.96488772591804e-07	-0.00220975639162013	2.27755111067223e-05
"290"	"[13]C1[15]N1"	2.00038979999999	298.972490444	416.243692976	-0.000263616478825679	1.27823036170653e-06	-0.00220975639162013	2.27755111067223e-05
"291"	"[13]C1[15]N1"	2.00038979999999	416.243692976	639.00811902	-0.000263616478825679	1.27823036170653e-06	-0.00709302149634182	3.45072566853953e-05
"292"	"[13]C1[15]N1"	2.00038979999999	639.00811902	875.415068426	-0.00069423944221018	1.95212315049443e-06	-0.00709302149634182	3.45072566853953e-05
"293"	"[13]C1[15]N1"	2.00038979999999	875.415068426	1474.912296002	-0.00069423944221018	1.95212315049443e-06	-0.0346991699139992	6.60421815608528e-05
"294"	"[13]C1[15]N1"	2.00038979999999	1474.912296002	1691.544218622	-0.00069423944221018	1.95212315049443e-06	-0.00526832501685746	4.60878798868352e-05
"295"	"[13]C1[15]N1"	2.00038979999999	1691.544218622	2009.036408958	-0.00715584638819851	5.77206878056032e-06	-0.00526832501685746	4.60878798868352e-05
"296"	"[13]C1[15]N1"	2.00038979999999	2009.036408958	3457.70028228	-0.00715584638819851	5.77206878056032e-06	-0.19576136093058	0.000140905990232841
"297"	"[13]C1[15]N1"	2.00038979999999	3457.70028228	4290.824850754	-0.0775564410360784	2.61325942456125e-05	-0.19576136093058	0.000140905990232841
"298"	"[13]C1[15]N1"	2.00038979999999	4290.824850754	5224.168615172	-0.113109078275859	3.44183291512293e-05	-0.19576136093058	0.000140905990232841
"262"	"[13]C1[33]S1"	2.00274264999996	0	129.991091652	2.71050543121376e-20	1.09501510059461e-06	0	6.56939768930655e-06
"263"	"[13]C1[33]S1"	2.00274264999996	129.991091652	155.972858578	2.71050543121376e-20	1.09501510059461e-06	-0.00163086650285098	1.91153843575083e-05
"264"	"[13]C1[33]S1"	2.00274264999996	155.972858578	264.013483432	-8.455114040679e-05	1.6371039048753e-06	-0.00163086650285098	1.91153843575083e-05
"265"	"[13]C1[33]S1"	2.00274264999996	264.013483432	468.951103118	-8.455114040679e-05	1.6371039048753e-06	0.000597754876747131	1.06740678359901e-05
"266"	"[13]C1[33]S1"	2.00274264999996	468.951103118	538.967815822	-0.000460747698588402	2.4393123988533e-06	0.000597754876747131	1.06740678359901e-05
"267"	"[13]C1[33]S1"	2.00274264999996	538.967815822	584.02762996	-0.000979550655823152	3.40189855335958e-06	0.000597754876747131	1.06740678359901e-05
"268"	"[13]C1[33]S1"	2.00274264999996	584.02762996	748.158292942	-0.000979550655823152	3.40189855335958e-06	-0.00258815588241368	1.61291363905018e-05
"269"	"[13]C1[33]S1"	2.00274264999996	748.158292942	1091.223845864	-0.000979550655823152	3.40189855335958e-06	-0.0132601979483038	3.03935536489462e-05
"270"	"[13]C1[33]S1"	2.00274264999996	1091.223845864	1296.04690598	-0.00264846492702038	4.93129536550112e-06	-0.0132601979483038	3.03935536489462e-05
"271"	"[13]C1[33]S1"	2.00274264999996	1296.04690598	1668.453522408	-0.00264846492702038	4.93129536550112e-06	-0.00953220700976092	2.75171215373136e-05
"272"	"[13]C1[33]S1"	2.00274264999996	1668.453522408	2009.036408958	-0.00264846492702038	4.93129536550112e-06	0.0092662995895844	1.6250097106082e-05
"273"	"[13]C1[33]S1"	2.00274264999996	2009.036408958	3503.683361478	-0.0329163582888258	1.99971713381044e-05	0.0092662995895844	1.6250097106082e-05
"92"	"[18]O1"	2.00424577999999	0	31.98982924	0	1.48774780125636e-06	0	0.000128477937103981
"93"	"[18]O1"	2.00424577999999	31.98982924	47.98474386	0	1.48774780125636e-06	8.67361737988404e-19	0.000128477937103981
"94"	"[18]O1"	2.00424577999999	47.98474386	301.998221672	0	1.48774780125636e-06	0.00267116988094073	7.2810871573026e-05
"95"	"[18]O1"	2.00424577999999	301.998221672	819.79403116	0	1.48774780125636e-06	0.00308601472506156	7.1437205059945e-05
"96"	"[18]O1"	2.00424577999999	819.79403116	1381.278219868	0	1.48774780125636e-06	0.0150683948422517	5.68208750285648e-05
"97"	"[18]O1"	2.00424577999999	1381.278219868	1506.951330946	-0.0521575569100201	3.92481035064267e-05	0.0150683948422517	5.68208750285648e-05
"98"	"[18]O1"	2.00424577999999	1506.951330946	3097.014209664	-0.0521575569100201	3.92481035064267e-05	0.00915840647558414	6.07426927046257e-05
"99"	"[18]O1"	2.00424577999999	3097.014209664	3318.563277864	-0.0521575569100201	3.92481035064267e-05	0.17062380272803	8.60686596266061e-06
"100"	"[18]O1"	2.00424577999999	3318.563277864	3503.683361478	-0.142943841657169	6.66052087190125e-05	0.17062380272803	8.60686596266061e-06
"101"	"[18]O1"	2.00424577999999	3503.683361478	4290.824850754	-0.25274152087768	9.79429946695652e-05	0.17062380272803	8.60686596266061e-06
"102"	"[18]O1"	2.00424577999999	4290.824850754	5224.168615172	-0.25274152087768	9.79429946695652e-05	-0.213402858608307	9.81063619089598e-05
"103"	"[18]O1"	2.00424577999999	5224.168615172	6176.01785464401	-0.474187069106743	0.000140331662521124	-0.213402858608307	9.81063619089598e-05
"246"	"[13]C2"	2.00670967999997	0	140.062600256	0	5.67934205334754e-07	0	4.59358801411789e-05
"247"	"[13]C2"	2.00670967999997	140.062600256	205.974525576	0	5.67934205334754e-07	-0.0207470040834725	0.000194062532406324
"248"	"[13]C2"	2.00670967999997	205.974525576	298.972490444	-0.000401201158215849	2.51575351499892e-06	-0.0207470040834725	0.000194062532406324
"249"	"[13]C2"	2.00670967999997	298.972490444	508.370516156	-0.000454874558037031	2.69527973074363e-06	-0.0207470040834725	0.000194062532406324
"250"	"[13]C2"	2.00670967999997	508.370516156	536.438201792	-0.000454874558037031	2.69527973074363e-06	-0.163631933772166	0.0004751270810924
"251"	"[13]C2"	2.00670967999997	536.438201792	819.79403116	-0.000454874558037031	2.69527973074363e-06	-0.218492420941896	0.000577395127973599
"252"	"[13]C2"	2.00670967999997	819.79403116	1155.913586264	-0.0481751844065423	6.09054008522424e-05	-0.218492420941896	0.000577395127973599
"253"	"[13]C2"	2.00670967999997	1155.913586264	1381.278219868	-0.0837030263491781	9.16411257064371e-05	-0.218492420941896	0.000577395127973599
"254"	"[13]C2"	2.00670967999997	1381.278219868	1506.951330946	-0.0837030263491781	9.16411257064371e-05	0.00504080239425675	0.000415564426438672
"255"	"[13]C2"	2.00670967999997	1506.951330946	2772.908562824	-0.598124589923073	0.000433006870578213	0.00504080239425675	0.000415564426438672
"256"	"[13]C2"	2.00670967999997	2772.908562824	2934.961386244	-0.652477451942825	0.000452608260522495	0.00504080239425675	0.000415564426438672
"257"	"[13]C2"	2.00670967999997	2934.961386244	3097.014209664	-0.728748519946373	0.000478595337681679	0.00504080239425675	0.000415564426438672
"258"	"[13]C2"	2.00670967999997	3097.014209664	3133.59463544	-1.53357199224271	0.000738466109273538	0.00504080239425675	0.000415564426438672
"259"	"[13]C2"	2.00670967999997	3133.59463544	3457.70028228	-1.53357199224271	0.000738466109273538	-0.80321976476965	0.000673498416375573
"260"	"[13]C2"	2.00670967999997	3457.70028228	5224.168615172	-1.53357199224271	0.000738466109273538	-0.56136607752706	0.00060355201631249
