"POOL_01"	"study_01"	"study_02"	"study_03"	"study_04"	"study_05"	"study_06"	"study_07"	"study_08"	"study_09"	"study_10"	"POOL_02"	"study_11"	"study_12"	"study_13"	"study_14"	"study_15"	"study_16"	"study_17"	"study_18"	"study_19"	"study_20"	"POOL_03"	"study_21"	"study_22"	"study_23"	"study_24"	"study_25"	"study_26"	"study_27"	"study_28"	"study_29"	"study_30"	"POOL_04"	"study_31"	"study_32"	"study_33"	"study_34"	"study_35"	"study_36"	"study_37"	"study_38"	"study_39"	"study_40"	"POOL_05"	"study_41"	"study_42"	"study_43"	"study_44"	"study_45"	"study_46"	"study_47"	"study_48"	"study_49"	"study_50"	"POOL_06"	"study_51"	"study_52"	"study_53"	"study_54"	"study_55"	"study_56"	"study_57"	"study_58"	"study_59"	"study_60"	"POOL_07"	"study_61"	"study_62"	"study_63"	"study_64"	"study_65"	"study_66"	"study_67"	"study_68"	"study_69"	"study_70"	"POOL_08"	"study_71"	"study_72"	"study_73"	"study_74"	"study_75"	"study_76"	"study_77"	"study_78"	"study_79"	"study_80"	"POOL_09"	"study_81"	"study_82"	"study_83"	"study_84"	"study_85"	"study_86"	"study_87"	"POOL_10"	"study_88"	"study_89"	"study_90"	"study_91"	"study_92"	"study_93"	"study_94"	"POOL_11"
"FT0040"	NA	33421.8748524707	NA	34888.9370323533	14482.8484498806	34693.7447159323	13830.2905783606	42099.1184377383	NA	62721.7801918773	11716.2415811347	16558.1926320647	37534.9453122579	47129.9468526822	37549.3626408566	42738.4359167098	40987.3041983136	76164.2792393689	NA	66415.0157956239	64852.9521053949	42975.8912365605	15782.7666733993	111441.415138295	44396.8620774016	9898.45816728382	NA	NA	32609.07772074	44176.8269565858	NA	29815.3432910383	17542.9584089853	NA	NA	9303.25497160079	57262.4309617848	12229.3152132141	21840.4433582259	35967.1447155042	16550.2195487777	69832.6339421334	14726.1962637251	27431.2147931273	24325.411031377	59191.9548789389	27913.0567582209	49294.9953190471	19090.101184273	15281.1149323968	33492.7041831287	24328.1190546074	NA	NA	30400.1310962477	22651.9582172866	28651.1588723445	26356.0212286502	10456.1420341055	36240.8419221313	23546.5286185101	26260.140806089	NA	26022.6291963403	67289.3789438095	NA	8072.50540490398	31619.759508681	16027.3708584511	51822.3466468965	18790.6517562131	NA	36613.7316716067	76360.7440251407	15979.6070524046	19244.0488549125	56263.6599950662	26189.1436969579	82620.0509824901	53903.8269052504	30790.6282530599	58052.0021094703	14858.2801234608	93242.7819497643	32813.0483596273	41469.0471475884	31438.9755420576	51246.7053529968	16197.4787032386	23592.8419462756	80101.1474609354	37119.4746424288	22263.1846800434	27033.2601720753	30109.8050278654	NA	23962.0842270378	61837.209102276	32377.1730189067	32439.4523740068	24012.0652395334	39597.0892398191	79366.9568492275	38650.3930301457	16487.0867236839
"FT0094"	3318.38921034339	1752.97164386898	2971.44751503734	1802.96165936777	2714.10110262252	NA	1651.25748544957	1471.75946330958	7193.30687117033	1885.16142714358	2559.15463275252	2548.56645703346	2517.16150675738	1792.80335380441	2143.16194536818	1968.25666986541	2229.79906354465	2948.31163835873	2043.65981352929	2138.3742849783	1819.28190495704	2149.30794720609	2898.9796534625	1408.78619358243	2140.32823151686	2123.76588213963	5972.89043394074	5963.15422427481	1558.38348972497	1881.34610031654	8169.48929095071	714.488033877367	NA	2354.39653734104	2253.22251620882	1118.90816802634	2277.93513099851	1983.88182294337	2086.26804180484	1795.86828453142	3032.94490609757	1053.16195802056	2186.60155929216	1358.93473356548	2890.3179087285	1586.90843480799	NA	1927.3145009931	3882.82441372975	1195.04206641519	2496.04726076317	1303.33800887262	1967.61628321678	5202.32751725222	1890.08495457218	2401.79941024291	1880.48188430666	1727.93094588662	1637.61238663298	1703.26226639111	1831.37154471814	651.313725270343	4999.26382000039	1790.92650212346	1267.25783369778	5540.04832077302	2037.22763080327	795.143228713593	1886.86406484702	1377.913036446	2016.00039954045	3065.38383938863	1866.1871918183	1057.92953821178	1551.05033683386	1167.0373351952	1921.62884921091	1855.00459537067	1773.50562793399	2383.86284378146	993.914683111267	1536.11255102651	3743.29413531611	1594.88840662658	807.162632480918	1179.56135694255	1340.55166783443	NA	2181.50913544653	2313.08516994411	1081.0725781762	1758.79206228981	895.312405191216	NA	2453.34658217759	831.230646941974	2204.75008972755	1331.79371609127	1668.88011082683	1410.05274960529	1925.28502484428	1540.65003624547	1695.53723598436	1804.5779143196	2300.93695026009
"FT0291"	1964.31475313054	2914.69810693978	2368.98698985682	2152.24937666547	2309.76068690787	3399.30805000828	2629.26446151085	2310.27768218056	NA	2923.02931831319	2564.96785587906	2141.55983562948	2428.55130685357	2220.74506358351	2583.18246795825	NA	2748.17305374441	3551.30075582357	2305.96521787153	2090.3821105528	NA	2502.24638844335	2076.46280294772	4070.03685949718	2727.38625372672	2231.30626808147	NA	NA	2259.10591328856	3057.04783698241	NA	2925.35593545078	2971.36444963906	1926.46809637617	1824.17137375953	2470.90746857264	2180.8980475473	3191.59796695522	2784.47399230985	2723.89409183804	2248.4397982657	2741.23327403734	2644.38967032379	2460.02063552227	1911.64888692183	3519.45878089733	1937.53891100314	4001.57332039717	4013.01840110417	3114.2549913836	2186.21757459606	3121.42750669913	2390.56792657342	NA	3202.32346903261	2101.60281499431	2593.93819278032	2834.06144012994	3456.71030220117	2909.20862584527	2858.89366851947	2490.42208839704	NA	3223.35999347756	2821.20059830933	NA	1971.41947713196	2930.15024729712	2856.49322906248	3040.21412022439	2139.8260052267	NA	2639.76633159651	2794.3347417628	2559.4344037532	2656.75422886422	NA	2019.19779614708	2843.82689952234	4308.33870593888	2561.40501894713	3325.88608090528	3835.16860881146	3144.40797748154	2936.30265685521	2111.46023865395	2347.65924482847	4509.48464643867	1940.6213272701	2546.66380406884	3409.84850656172	2908.35355176281	3161.51977860975	3457.96788001252	1970.53683766287	3154.16498240253	1902.56622330652	2905.32712662978	3187.02825495683	2533.96038152431	3063.00963249425	2558.12845550543	3381.04078993643	2353.37827020253	1751.76608303515
"FT0312"	4577.20022373405	4576.61862738793	2839.52014163923	3034.18777836069	2683.83558777997	4391.68571781149	2989.96403908036	3594.08823871352	2479.27308806718	3016.09114261275	2764.72675183997	3489.73997191813	3868.25401394941	3233.12216130509	5458.13591644186	3057.95285246999	2641.67387186524	1365.51680701988	2652.35328976546	2564.12481791717	4195.94567155529	5029.48413234305	4386.05223407234	2888.42740645642	3216.7747442776	3629.90667098655	5749.2516406008	8500.46847792756	1978.62756126972	1534.66577423038	8217.33835881136	3978.71154170692	3150.52094098945	4924.32745095764	3137.0267224309	2986.90327204973	1949.28637355805	2853.1836874256	2494.53630249719	2921.95691154682	1523.66508278815	4496.91074608586	2567.57666916941	2803.00600058672	4597.09001726269	4545.58016293061	3792.34311177845	3853.64293632448	3503.53968380657	3558.32910804209	3818.9418230702	3913.86123063099	4532.22818181819	9704.22445098733	2493.37840212371	3545.25164356128	3223.09823825116	7181.07815895529	3037.90718158317	4367.4157803289	2733.01665041458	3148.70188400549	7052.9503581043	5177.9266198234	4377.65085258273	3372.55206454546	5884.74476744494	3508.98956683414	4802.39968100064	2500.03341823545	2920.72620994197	3966.60102925057	2401.4650241154	3271.31623340956	4071.43232756347	3418.11759921474	3361.15083151918	4400.4959273533	3343.0719975242	5821.10961488679	3942.49577101951	2690.66027430915	4941.80805261467	3165.30180080489	2730.65462573704	3737.2819564748	2997.25423717074	2978.54937789144	4381.63468391388	3590.13757192813	3199.27312370226	5584.01435465014	2785.21906825352	3473.22881667371	2533.02033175664	3732.95729503915	5496.50383147886	4381.39879800527	2466.68008814833	3536.21931617831	3228.36566259737	2342.05056639495	2036.86027201394	4016.50247691077	3249.09619230671
"FT0319"	1517.39681086924	2802.20432827749	1472.82310601042	1456.27385370585	1560.3360307734	2363.68539693467	1255.32164264053	986.92445554097	NA	1874.54808099319	1027.91203426979	1604.51240150823	785.643632758401	1260.43401376579	1881.10237807775	919.179967153726	1543.78532989327	NA	1630.3485713683	784.474767810462	1202.75378894449	1932.33385708447	1488.99472504716	2273.08809311611	1394.70315302958	1057.66618615269	1225.24369112034	NA	770.557177292489	1412.91090529132	NA	1375.16546804748	1626.88462610718	1493.52730482521	1216.79422711309	706.550415054387	955.087882796095	1207.11384575543	1902.66305304709	1397.56544304578	NA	1195.12938119645	1184.83380854136	1068.13325084508	1621.06426799832	1794.42144773159	665.281394050982	2407.17306814363	2560.21148689045	940.686165335514	1483.89993984198	1426.90403057423	1885.68996970823	1724.25205296533	1309.71333085039	1533.37468006159	2053.0177919132	1554.54738571012	1710.04881781512	2214.4879078093	1261.61716499477	1358.26020813554	NA	2460.34223363369	1972.74263055915	NA	1482.50116645779	1776.70467881027	1872.94481355181	1374.15798449008	1362.51222616626	1249.53011806063	1583.8276971666	1318.98051729157	1484.27031895388	1073.41849885176	1404.26458059932	1445.11605015613	1710.75867292536	3984.47883640863	1544.90068469733	2521.32962338088	2928.76912726019	1874.99003134723	1458.19114029222	1823.34118348411	1812.49522427626	1254.5991438001	1559.71994556217	1610.42258902014	2500.67978481144	1922.03450286514	1838.95300828559	1263.10556832358	926.601366890636	2657.76052341319	1516.65003483245	1443.52025096417	1853.99523075628	1811.42777214965	1717.64879495445	2294.26045043466	1196.57770591164	1770.07598379168	1473.68061793553
"FT0339"	NA	591.576753766126	562.494139901743	637.739200784446	NA	722.703074954618	614.69141750545	514.486311137025	NA	691.108132643093	669.469737765018	609.02208277313	NA	495.77193987852	NA	NA	637.309650728589	1198.40829268869	679.812753937944	657.235284391523	NA	598.60279065018	644.402036603244	890.835264310738	NA	580.133479360331	NA	NA	577.861474764925	732.531419479797	NA	627.16924035144	676.699048467362	586.688967932046	525.146496306607	584.848424323077	NA	559.465268359481	501.534943740753	574.904367116949	NA	664.94217435495	729.573093652982	740.234147187092	NA	828.534345835776	573.710261085171	932.089130364845	1069.44567652225	629.641475565315	NA	608.803198964555	634.869377622376	NA	709.721737665823	661.470309631024	513.125896131199	478.124306378377	725.934630285	NA	711.099850298279	604.971466206335	NA	758.510531953595	717.791259049667	NA	NA	748.420144852618	650.584494271377	908.177499634004	638.079591792348	NA	615.577071100879	613.708745483955	689.185575371211	644.060467057556	801.46081631093	NA	766.779641058615	1242.26256420818	743.445634598272	786.70569901308	1106.54261828633	762.747977401687	765.533809131363	666.897826398244	572.093648070686	944.190490567362	586.249565479419	652.312402911994	740.337930733699	NA	670.859722787284	608.983231559258	837.107394071711	725.964877235983	NA	683.745932585858	772.874818921048	573.635216792758	782.783094416856	661.85466381348	926.633228368853	NA	597.977401380133
"FT0343"	1047.22984475324	908.256725355413	1125.91690328387	1040.61416042567	1850.32486826418	1100.81037800267	1325.36812335879	1431.97157307327	NA	1007.97017068897	1007.06057318739	1077.62107618729	993.344283360047	805.589351722503	1434.36121212755	1051.76609304694	1904.75829223742	NA	1800.08485521259	1138.4021229938	1548.1982026477	966.658423755178	1078.42689934439	NA	NA	1071.9824905623	NA	3047.68256626896	1560.4989137772	1602.69280168874	1852.53404648931	NA	695.245412429788	1259.26329554429	NA	1018.28896360005	971.25588161984	2216.72354007897	874.236807138536	1137.64143004819	807.022137308874	NA	1191.10735028925	1129.57242562892	969.876673611424	1915.2921737491	NA	1634.85105879414	2884.87904717703	1571.16962514856	1487.8665646559	1272.86342673382	1387.75217832168	1555.73217163117	1564.33843058409	1211.08315529364	1696.42294502139	1103.02653233046	NA	1057.89541581883	1655.2546033503	NA	1793.79979855116	1342.73868014346	1514.99894519086	1546.47432397762	1058.69830550104	1766.65836558823	1539.84976561611	1614.64834634432	NA	1171.55388088421	1824.8218029696	1313.03860389978	1481.83016733219	1156.72285457489	NA	1165.61728736882	1498.83726386378	2004.89651058601	NA	NA	2661.32506627935	1719.40685220091	1475.21421242293	1406.22589555913	1762.43309088292	1001.95325943531	1089.88483092582	1234.72127588821	1503.88454886939	1116.0959235651	NA	1323.08372370097	1623.78067892683	1636.47478341344	1070.4192648985	1651.80733678117	1286.81589721454	1248.00172080812	1880.02075622745	1160.60639520343	NA	1599.31238770591	994.457614533059
"FT0345"	28745.9413162733	34509.2812017318	NA	27093.460557578	50299.0898350675	30672.3301481879	23143.6473095172	32840.9780196014	NA	30930.5454289337	46972.5116469362	26345.9081952389	23498.5533515867	38981.4513232674	38312.9565038751	30638.5932221704	51666.757568063	30283.2437051626	36894.2287571341	37661.9183650494	35593.6341142393	34065.5768496821	28103.5101211197	37259.0202520016	NA	40400.8086413911	4070.6409202139	NA	28942.1775845524	38751.559838945	2512.72642338967	33752.0787754281	27882.7744457764	26189.9028530007	33751.4724809328	32257.4237485709	38168.1197515617	52628.5061202022	31118.3777138915	35985.0306402562	31780.0458906699	28460.5661346009	51721.5719309781	38160.6927444266	26454.4902606098	32661.1120138603	18504.3193267879	27565.2294244309	25025.3705890414	22989.9475817155	47520.1218687655	17177.5311313155	43021.7190165238	NA	15289.1038555717	25713.0390783705	30366.6197861307	45385.4558141572	20356.4723897272	38313.631954944	30631.9039224723	32881.7545318994	NA	43195.6965927513	22707.964214149	NA	25656.5195647556	25644.3045029492	32659.8439801432	24763.9009870443	36221.3324412479	NA	42986.6383485782	43065.0413783726	47421.6232782036	26126.4585357027	48445.4807450908	24764.0303380619	25690.451487957	27731.2064612255	23849.2910614261	32034.4421808133	28819.7637475743	23181.490933951	33972.4667409348	29174.4531968391	25987.0530533527	24865.9572931768	24673.4537746513	46093.6431760785	34074.6499555324	20051.1001208046	38947.5236454829	21955.7293320457	31539.4936866887	27256.5002184279	25395.6864187231	22194.627247651	41311.8284222104	48778.851135669	21731.0990771681	35935.6072692383	27756.0738017827	18461.480640159	25667.1678763711
"FT0360"	56578.1485913025	34950.6188717872	48184.0112805655	34750.7152118851	49493.0647235586	55480.3838542811	51205.568148398	48910.4601372401	143252.420805783	52823.1337007677	59292.5257588676	55807.1303074998	59825.1463325036	34748.7042998454	45535.85645383	30920.6917772081	48770.4838844288	11139.5712879301	32057.4173703768	47196.854399159	52644.1502258774	35453.1510928924	56338.4311296744	34677.2191908765	48324.0934544613	49710.7694459804	82730.9796555205	147637.405323275	45711.3647136082	65067.5484561021	73286.1625635792	53711.6454120008	52355.8636498304	55672.3839466606	59058.6975749052	41669.7708940757	59336.6922820741	41118.6700936385	64308.5075428535	47010.9024104533	38728.8149949791	36354.6664837513	51041.6508929486	50341.5621630678	55583.7996632016	56663.0314294345	50194.5771413628	62090.0569780991	54799.7860147623	48240.0824906171	39099.7226178802	52719.1102325833	50974.4578095234	120076.376484059	47329.3984356091	54927.6351611485	54144.8481264153	50026.3025119311	54944.4570017171	36901.6074586196	50422.7873639303	69772.8993421877	91879.2139532862	68854.413055306	48478.6926754923	72413.1650789374	54611.947658574	68929.0321759948	45868.5935044793	24244.0688958938	43136.6608175811	70806.4991757798	46158.973433642	60409.5571616005	66601.3972859306	41937.3897880736	70042.5440559339	54914.0414252819	32339.8605985736	92168.9638591256	65289.4227632208	31402.7213039037	73176.1993052705	51252.4380117188	64812.5084205205	50427.3809060297	54333.0805370817	62602.9883845788	56136.7685577219	50528.9873020082	38995.9890917627	37482.7090018909	24088.4843505032	33914.9646430851	29430.3115714604	70449.8978457468	56172.141098837	41184.2811300921	15764.5347631475	44302.9440104591	56618.0632799119	31028.18365633	16881.37499622	50565.7312593379	54342.2667621488
"FT0361"	2015.86966078993	1962.93007882197	2042.95503273332	NA	1977.84008719208	2398.48940214159	1588.62521603368	2185.969252299	NA	2720.49632165526	2654.72893621904	2831.17640985072	2024.03488429715	NA	1854.71929255492	1657.76825382487	2127.4069209554	NA	1693.46829285414	2737.4523268447	1903.37244921544	2061.03720209445	2096.53890666768	2961.605075655	1933.1992262465	2490.11602787195	11512.8675346121	48531.4403507632	2021.89257648814	2546.82012473551	NA	2236.29765771245	1349.67340554987	3224.5916336877	2175.7713172207	2233.18903616534	2332.10671745094	2499.50080488113	2348.15519557641	2959.48193979473	NA	2033.59009092044	2251.12721570584	2775.53057507982	NA	2927.08405210245	NA	4519.53580252722	2268.77669964329	2893.25423344284	2202.96626538642	3472.11631515845	1940.21705244755	43618.8400560773	2609.08072782481	3501.84129730432	2797.15013005824	3238.23091429288	2075.1776397092	NA	2645.32212513253	3057.1347073998	15182.9004754179	4053.72434245637	1820.98569317411	16446.2901462636	2536.36268577154	3157.2102622149	2754.87461354357	2740.36367148912	2326.72751619156	10073.4486836437	2500.92687392471	3555.81512327055	3192.95013340433	2323.73175438931	2829.94019046428	3604.96046697383	2766.94540989522	5366.28491185232	2929.08960720583	3121.6606417245	3367.88578833924	3687.38320872793	3350.64283307291	NA	3357.53798534729	4131.07317927129	2507.77527941534	3475.09790047393	3980.57570687361	2376.99053824581	NA	2568.64622639237	2655.09191067215	4260.00611151812	2426.21771663842	3271.11708007651	NA	2301.85909186229	2762.994218175	4937.11283339198	2185.42838356689	3494.42953268627	2602.88105641404
